NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
         Other Private Revenues,38,41,44,48,52,62,64,70,104,115,85,65,70,89,119,127,154,193,278,315,370,409,441,492,555,586,664,634,836,913,958,997,"1,082","1,199","1,252","1,429","1,513","1,475","1,552","1,728","1,370","1,179","1,064","1,165","1,193","1,301","1,108","1,083","1,044",964,958,"1,080","1,170","1,330","1,362","1,388","1,461","1,700","1,844","2,050","2,020"
         Indian Health Services ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Workers' Compensation,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         General Assistance,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,1,1,1,1,3,3,3,3,3,4,3,4,5,7,8,8,9,19,16,16,20,35,42,45,63,72,80,74,68,55,24,32,32,53,66,91,117,156,141,183,196,193,233,246,209,291,339,349,344,293,291
         Maternal/Child Health,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Vocational Rehabilitation,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Federal Programs*,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,25,61,59,8,  -    ,  -    ,  -    ,  -    ,  -    ,"9,786"
         SAMHSA,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other State and Local Programs**,8,8,9,9,10,12,15,22,32,37,30,26,30,38,58,85,122,157,222,255,365,388,397,471,567,607,666,644,749,884,"1,021","1,124","1,245","1,345","1,493","1,579","1,657","1,679","1,543","1,575","1,512","1,679","1,664","1,534","1,563","1,470","1,259","1,261","1,212","1,078","1,042","1,081","1,089","1,005",975,896,829,847,784,854,911
         School Health,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
"Total CMS Programs (Medicaid, CHIP and Medicare)",  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,11,52,72,84,73,71,82,101,166,275,407,513,625,778,915,"1,241","1,561","1,931","2,328","2,484","2,591","2,775","3,087","3,946","5,413","7,143","9,393","11,772","14,941","17,301","18,743","19,075","15,051","14,210","15,411","18,163","21,012","24,600","28,938","33,047","37,895","43,729","48,442","53,841","57,153","58,760","60,606","61,505","63,447","67,363","69,893","72,103","75,618","80,259","81,842"
Other Non-Durable Medical Products Expenditures,"1,486","1,632","1,765","1,843","1,868","1,911","1,959","2,015","2,171","2,323","2,628","2,720","2,877","3,149","3,492","3,823","4,199","4,518","5,282","6,200","7,124","8,131","8,996","10,058","11,184","12,195","13,384","14,745","15,698","17,006","18,488","19,234","19,072","19,441","19,793","20,363","21,069","21,594","22,521","24,139","25,195","26,061","27,905","30,338","32,724","35,510","38,666","41,740","45,309","47,642","51,820","56,565","61,213","63,181","65,516","69,270","71,876","74,512","77,493","81,100","85,749"
     Out of pocket,"1,486","1,632","1,765","1,843","1,868","1,911","1,957","2,010","2,165","2,316","2,619","2,710","2,864","3,134","3,471","3,795","4,165","4,474","5,223","6,126","7,026","8,001","8,828","9,839","10,930","11,908","13,055","14,365","15,280","16,530","17,931","18,492","18,207","18,482","18,773","19,156","19,842","20,261","21,171","22,812","23,761","24,480","26,227","28,477","30,699","33,370","36,370","39,201","42,592","44,848","48,812","53,438","57,940","60,466","63,238","67,006","69,774","72,555","75,406","78,883","83,424"
     Health Insurance,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,2,5,6,7,9,10,13,15,21,28,34,44,59,74,98,130,168,219,254,287,329,380,418,476,557,742,865,959,"1,020","1,207","1,227","1,333","1,350","1,327","1,434","1,581","1,678","1,861","2,025","2,140","2,295","2,539","2,717","2,794","3,008","3,126","3,271","2,713","2,278","2,264","2,102","1,957","2,087","2,217","2,325"
          Private Health Insurance,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
          Medicare,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,2,5,6,7,9,10,13,15,21,28,34,44,59,74,98,130,168,219,254,287,329,380,418,476,557,742,865,959,"1,020","1,207","1,227","1,333","1,350","1,327","1,434","1,581","1,678","1,861","2,025","2,140","2,295","2,539","2,717","2,794","3,008","3,126","3,271","2,713","2,278","2,264","2,102","1,957","2,087","2,217","2,325"
          Medicaid (Title XIX),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
          CHIP (Title XIX and Title XXI),  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Department of Defense,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Department of Veterans Affairs,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
     Other Third Party Payers and Programs,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,2,2,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Worksite Health Care,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Private Revenues,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Indian Health Services ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Workers' Compensation,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         General Assistance,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Maternal/Child Health,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Vocational Rehabilitation,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          Federal  ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
                          State and Local,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other Federal Programs*,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,1,2,2,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         SAMHSA,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         Other State and Local Programs**,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
         School Health,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,  -    
"Total CMS Programs (Medicaid, CHIP and Medicare)",  -    ,  -    ,  -    ,  -    ,  -    ,  -    ,2,5,6,7,9,10,13,15,21,28,34,44,59,74,98,130,168,219,254,287,329,380,418,476,557,742,865,959,"1,020","1,207","1,227","1,333","1,350","1,327","1,434","1,581","1,678","1,861","2,025","2,140","2,295","2,539","2,717","2,794","3,008","3,126","3,271","2,713","2,278","2,264","2,102","1,957","2,087","2,217","2,325"
Total Prescription Drug Expenditures,"2,676","2,718","3,029","3,159","3,347","3,715","3,985","4,227","4,742","5,149","5,497","5,877","6,324","6,817","7,422","8,052","8,722","9,196","9,891","10,744","12,049","13,398","15,029","17,323","19,617","21,795","24,290","26,888","30,646","34,757","40,290","44,381","46,972","49,551","53,019","59,766","68,084","77,636","88,523","105,294","122,003","140,583","159,812","179,654","195,638","208,595","228,099","239,335","244,324","254,254","253,371","256,330","256,997","259,375","290,647","312,239","313,340","315,855","324,200","338,140","348,411"
